플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_25
평택기지본부,2공장 기화해수펌프,000000000022101093,경보(Alarm)/차압발생,직접입력,보강/개조/추가설치,979,1023,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101093,진동/소음,이완/밀봉/고정 불량,보강/개조/추가설치,12395,126,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101093,,,,81000,*,C,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101094,이물질/오염,이물질 ,청소/윤활/코팅 작업,7822,129,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101094,,,,91320,*,C,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101095,결빙(Icing),동파(Freezing),밀봉/조임 작업,18998,71,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101095,경보(Alarm)/차압발생,이물질 ,청소/윤활/코팅 작업,850,*,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101095,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,15705,699,F,,,,,,,,,,,,,,,
평택기지본부,2공장 기화해수펌프,000000000022101095,,,,56424,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101146,,,,11136,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101147,경보(Alarm)/차압발생,온도변화/열팽창 ,밀봉/조임 작업,49190,142,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101147,오동작/계기불량/작동불량,부품/자재 불량,보강/개조/추가설치,16759,129,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101147,,,,20784,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101160,고착 (Stick),장기미사용 ,청소/윤활/코팅 작업,15341,500,F,,,,,,,,,,,,,,,
